GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
219965,1.1198704458436903,3.9746831496251707,2.641048130540431,1.5049642994623658,0.132333255466804,
28875,3018.660090331394,3.9516784983406383,1.1820172894788714,3.343164718075196,0.0008282871851904976,0.03088305265395145
28393,1053.3739859086215,3.946832572745576,1.2014639208582185,3.2850196366498556,0.0010197526428873532,0.03512822245755143
1770,1210.332810942965,3.927210334296052,1.2037038449994382,3.2626051255139794,,
400757,9.243601310310671,3.9189135809706284,1.4053196742978096,2.7886278493388175,,
494118,4.038629400979952,3.916892710747572,1.6276436227510809,2.406480544019304,0.016107061953103317,
259215,23.33615407123515,3.9162074964427895,1.2768409060573647,3.0671068555715943,,
8972,1353.819701292297,3.913811342984839,0.821734853457218,4.762863990152761,,
100996648,30.188572804546023,3.9137885145646027,1.3354869981326434,2.930607725898562,,
85291,18.41719432488746,3.9083587661740813,3.1226815935197774,1.2516033572826475,,
4762,7.213663655860829,3.906223230130991,1.9905964312737658,1.9623381056859586,,
28660,7.418378337668198,3.9018865281668913,0.9016595353857607,4.327449968681949,1.5084559504934731e-05,
5553,111.51509932254528,3.8978336320906224,0.9980837347728222,3.9053172557489115,,
28391,4274.16415040812,3.8965583873782825,1.126191941950396,3.4599416335993545,0.0005402924852364428,0.024407695632855143
28913,9452.098759738328,3.8952349495856837,1.2002473923257766,3.2453600603436445,0.0011730220251075082,0.03827740703021973
3446,3.0322001857704337,3.893068050783034,2.068202896916368,1.8823433893200168,,
28942,1407.1322154270474,3.889658209218864,1.1952535882691857,3.254253530291737,0.0011369076630877994,0.03769026970839923
4360,29214.825273054586,3.8837167630064395,0.850990226831541,4.563761886510179,,
10666,369.4105307247486,3.8818480865301166,0.7560727105285907,5.134225891867215,,
