,log2FC
101928513,1.900992547252263
105375056,1.900224300917455
336,1.8972531683786822
285513,1.8966114598125197
22914,1.8955049301732894
1490,1.8952393488680794
28680,1.8947045258629198
6981,1.8931007509201647
28734,1.8927887176057592
28409,1.8893705312987459
5329,1.8863677722898053
7456,1.8863309561342128
8676,1.8861724331463705
8870,1.8855397259304816
5730,1.8852918365541012
28795,1.885222955000153
4129,1.8844541012695304
2865,1.8836832629791944
51296,1.8831231313683627
971,1.8813323669313577
225,1.8811346021887925
3575,1.8791762128147553
6973,1.8791569280624776
64115,1.8791176468324782
89846,1.8779523787439816
92241,1.8771117017926997
152789,1.8766613786147364
10261,1.8721172427526653
7099,1.871747344231398
4242,1.8714871457170181
11151,1.870785327920009
11326,1.870593981740905
3109,1.869776534979744
60489,1.8695433623572466
6793,1.8694790546927162
6358,1.8692840079039668
124599,1.8678184514065022
6976,1.8675890297117261
28594,1.8641009512352673
100528032,1.863086374291547
100132417,1.8620579267867994
28606,1.861843981912462
5330,1.860742152446436
1359,1.8607245740020062
445347,1.8606342837634013
28617,1.8601175209197622
105372397,1.8574487019499983
23136,1.85671891799079
102724971,1.855355804918923
2568,1.8549674196549608
541472,1.8546046875004478
1535,1.8531760709737117
146850,1.8527351955627012
3823,1.8519016850666148
375387,1.8515445858668427
29851,1.8512635908620352
348249,1.8511745133996405
257106,1.8496750767056565
105373805,1.8484897383098469
4773,1.8481403777196164
100302522,1.8453012442576746
123041,1.8439739597043152
2986,1.843538657847159
10673,1.8431226530869251
1991,1.8420729571142802
164668,1.8413058958886603
80301,1.8384203427519878
28885,1.8365810774991886
5950,1.8361049251957127
4778,1.8358925516752191
107984334,1.8310780631270882
2123,1.8306600189174658
9450,1.8291594775714364
7538,1.8289452977720622
53827,1.8280286285848586
